"","Covariate","Mean","Min","Max"
"prop.2yrsburnt.500m.transect","prop.2yrsburnt.500m.transect",0.16,0,1
"prop.2yrsburnt.1km.transect","prop.2yrsburnt.1km.transect",0.16,0,1
"prop.great10yrs.unburnt.500m.transect","prop.great10yrs.unburnt.500m.transect",0.35,0,1
"prop.great10yrs.unburnt.1km.transect","prop.great10yrs.unburnt.1km.transect",0.35,0,0.99
"prop.great20yrs.unburnt.500m.transect","prop.great20yrs.unburnt.500m.transect",0.11,0,0.61
"prop.great20yrs.unburnt.1km.transect","prop.great20yrs.unburnt.1km.transect",0.11,0,0.53
"prop.burnttwice.500m.transect","prop.burnttwice.500m.transect",0.07,0,0.99
"prop.burntthree.500m.transect","prop.burntthree.500m.transect",0,0,0.09
"tsf.cat.shannon.diversity","tsf.cat.shannon.diversity",0.65,0,1.33
"prop_burnt_transect","prop_burnt_transect",0.14,0,0.98
"prop_moderate_transect","prop_moderate_transect",0.1,0,0.79
"prop_severe_transect","prop_severe_transect",0.04,0,0.87
"severity_diversity","severity_diversity",0.37,0,1.57
"pa_severe_transect","pa_severe_transect",0.44,0,1
"prop.5yrsharvest.500m.transect","prop.5yrsharvest.500m.transect",0.01,0,0.19
"prop.20yrsharvest.500m.transect","prop.20yrsharvest.500m.transect",0.06,0,0.35
"prop.great20yrsharvest.500m.transect","prop.great20yrsharvest.500m.transect",0.75,0.21,1
"prop.5yrsharvest.1km.transect","prop.5yrsharvest.1km.transect",0,0,0.13
"prop.20yrsharvest.1km.transect","prop.20yrsharvest.1km.transect",0.05,0,0.32
"prop.great20yrsharvest.1km.transect","prop.great20yrsharvest.1km.transect",0.73,0.24,0.99
"tsh.shannon.diversity","tsh.shannon.diversity",0.76,0,1.81
"Year","Year",2009.03,2000,2018
"BaitIntensity.Transect.Twelve","BaitIntensity.Transect.Twelve",21.43,8.16,50.35
"Rain.TwelveMonths","Rain.TwelveMonths",681.69,349.48,1109.82
"Rain.PrvAutumn","Rain.PrvAutumn",155.86,65.99,385.08
"mean.smNDVI","mean.smNDVI",67.1,62.38,73.52
"ndvi.monthly.anomaly","ndvi.monthly.anomaly",-0.02,-0.18,0.12
"prop.pasture.1km","prop.pasture.1km",0.05,0,0.19
"prop.pasture.5km","prop.pasture.5km",0.11,0.01,0.27
"DistCentroidPasture","DistCentroidPasture",9.9,2.57,15.92
"Distance.Assets","Distance.Assets",14132.36,3892.33,24326.9
"RoadLength1km","RoadLength1km",47198.96,30381.91,77813.49
"RoadLength5km","RoadLength5km",324633.52,216502.97,678660.93
"mean.annual.precip","mean.annual.precip",668.64,591.47,872.95
"rain.anomaly.twelve","rain.anomaly.twelve",0.02,-0.42,0.45
"valleys.prop.area","valleys.prop.area",0.31,0.05,0.53
"Quenda_PA","Quenda_PA",0.43,0,1
"Woylie_Abundance","Woylie_Abundance",35.39,0.04,153.46
"Woylie_SD","Woylie_SD",41.31,1,173
"Koomal_Abundance","Koomal_Abundance",161.34,2.53,435.16
"Koomal_SD","Koomal_SD",310.15,10,816.02
"Chuditch_Abundance","Chuditch_Abundance",9.94,0.41,96.68
"Chuditch_SD","Chuditch_SD",17.38,2,134
